"design","scenario","dgp","dose_idx","dose_log","dose_mg","n_allocated","total_allocated","p_allocation","p_allocation_percent"
"BOIN12","A","Base case: logit/logit",1,-1.2,0.3,29313,60000,0.48855,48.855
"BOIN12","A","Base case: logit/logit",2,-0.23,0.8,21732,60000,0.3622,36.22
"BOIN12","A","Base case: logit/logit",3,0.92,2.5,8238,60000,0.1373,13.73
"BOIN12","A","Base case: logit/logit",4,2.02,7.5,579,60000,0.00965,0.965
"BOIN12","A","Base case: logit/logit",5,3,20,93,60000,0.00155,0.155
"BOIN12","A","Base case: logit/logit",6,3.69,40,45,60000,0.00075,0.075
"BOIN12","A","Misspecification 1: probit/probit",1,-1.2,0.3,32856,60000,0.5476,54.76
"BOIN12","A","Misspecification 1: probit/probit",2,-0.23,0.8,22386,60000,0.3731,37.31
"BOIN12","A","Misspecification 1: probit/probit",3,0.92,2.5,4617,60000,0.07695,7.695
"BOIN12","A","Misspecification 1: probit/probit",4,2.02,7.5,141,60000,0.00235,0.235
"BOIN12","A","Misspecification 2: quadratic efficacy + logistic toxicity",1,-1.2,0.3,29313,60000,0.48855,48.855
"BOIN12","A","Misspecification 2: quadratic efficacy + logistic toxicity",2,-0.23,0.8,21732,60000,0.3622,36.22
"BOIN12","A","Misspecification 2: quadratic efficacy + logistic toxicity",3,0.92,2.5,8238,60000,0.1373,13.73
"BOIN12","A","Misspecification 2: quadratic efficacy + logistic toxicity",4,2.02,7.5,579,60000,0.00965,0.965
"BOIN12","A","Misspecification 2: quadratic efficacy + logistic toxicity",5,3,20,93,60000,0.00155,0.155
"BOIN12","A","Misspecification 2: quadratic efficacy + logistic toxicity",6,3.69,40,45,60000,0.00075,0.075
"BOIN12","B","Base case: logit/logit",1,-1.2,0.3,3687,60000,0.06145,6.145
"BOIN12","B","Base case: logit/logit",2,-0.23,0.8,50796,60000,0.8466,84.66
"BOIN12","B","Base case: logit/logit",3,0.92,2.5,5517,60000,0.09195,9.195
"BOIN12","B","Misspecification 1: probit/probit",1,-1.2,0.3,3087,60000,0.05145,5.145
"BOIN12","B","Misspecification 1: probit/probit",2,-0.23,0.8,55617,60000,0.92695,92.695
"BOIN12","B","Misspecification 1: probit/probit",3,0.92,2.5,1296,60000,0.0216,2.16
"BOIN12","B","Misspecification 2: quadratic efficacy + logistic toxicity",1,-1.2,0.3,3687,60000,0.06145,6.145
"BOIN12","B","Misspecification 2: quadratic efficacy + logistic toxicity",2,-0.23,0.8,50796,60000,0.8466,84.66
"BOIN12","B","Misspecification 2: quadratic efficacy + logistic toxicity",3,0.92,2.5,5421,60000,0.09035,9.035
"BOIN12","B","Misspecification 2: quadratic efficacy + logistic toxicity",4,2.02,7.5,96,60000,0.0016,0.16
"BOIN12","C","Base case: logit/logit",1,-1.2,0.3,3000,60000,0.05,5
"BOIN12","C","Base case: logit/logit",2,-0.23,0.8,3006,60000,0.0501,5.01
"BOIN12","C","Base case: logit/logit",3,0.92,2.5,3033,60000,0.05055,5.055
"BOIN12","C","Base case: logit/logit",4,2.02,7.5,3891,60000,0.06485,6.485
"BOIN12","C","Base case: logit/logit",5,3,20,14460,60000,0.241,24.1
"BOIN12","C","Base case: logit/logit",6,3.69,40,23316,60000,0.3886,38.86
"BOIN12","C","Base case: logit/logit",7,4.38,80,8325,60000,0.13875,13.875
"BOIN12","C","Base case: logit/logit",8,5.08,160,936,60000,0.0156,1.56
"BOIN12","C","Base case: logit/logit",9,5.77,320,33,60000,0.00055,0.055
"BOIN12","C","Misspecification 1: probit/probit",1,-1.2,0.3,3000,60000,0.05,5
"BOIN12","C","Misspecification 1: probit/probit",2,-0.23,0.8,3000,60000,0.05,5
"BOIN12","C","Misspecification 1: probit/probit",3,0.92,2.5,3000,60000,0.05,5
