"design","scenario","dgp","n_trials","mean_n_patients","expected_toxicities","sd_toxicities","expected_toxicity_rate_percent","expected_efficacies","sd_efficacies","expected_efficacy_rate_percent","expected_neutral","sd_neutral","expected_neutral_rate_percent"
"BOIN12","A","Base case: logit/logit",1000,60,0.186,0.509572039719276,0.31,37.832,4.68697597004121,63.0533333333333,21.982,4.82441197981173,36.6366666666667
"BOIN12","A","Misspecification 1: probit/probit",1000,60,0.001,0.0316227766016838,0.00166666666666667,40.517,6.03971764151183,67.5283333333333,19.482,6.04104048738048,32.47
"BOIN12","A","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,0.186,0.509572039719276,0.31,37.832,4.68697597004121,63.0533333333333,21.982,4.82441197981173,36.6366666666667
"BOIN12","B","Base case: logit/logit",1000,60,0.001,0.0316227766016838,0.00166666666666667,46.835,3.93538591020782,78.0583333333333,13.164,3.934537404141,21.94
"BOIN12","B","Misspecification 1: probit/probit",1000,60,0,0,0,52.467,2.12683672021019,87.445,7.533,2.12683672021019,12.555
"BOIN12","B","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,0.001,0.0316227766016838,0.00166666666666667,46.602,3.53583060936155,77.67,13.397,3.53495217603957,22.3283333333333
"BOIN12","C","Base case: logit/logit",1000,60,0,0,0,30.467,4.25193955624842,50.7783333333333,29.533,4.25193955624842,49.2216666666667
"BOIN12","C","Misspecification 1: probit/probit",1000,60,0,0,0,32.89,5.003292209429,54.8166666666667,27.11,5.003292209429,45.1833333333333
"BOIN12","C","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,0,0,0,30.46,4.24693259146368,50.7666666666667,29.54,4.24693259146368,49.2333333333333
"BOIN12","D","Base case: logit/logit",1000,60,3.952,3.17202738918783,6.58666666666667,44.072,4.05255959107812,73.4533333333333,11.976,3.11626942595391,19.96
"BOIN12","D","Misspecification 1: probit/probit",1000,60,0.148,0.486140239367543,0.246666666666667,54.046,2.27883239337102,90.0766666666667,5.806,2.21794573497263,9.67666666666667
"BOIN12","D","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,3.952,3.17202738918783,6.58666666666667,44.072,4.05255959107812,73.4533333333333,11.976,3.11626942595391,19.96
"RWR","A","Base case: logit/logit",1000,60,0.063,0.251185377946436,0.105,32.749,3.94100628400039,54.5816666666667,27.188,3.94413643427965,45.3133333333333
"RWR","A","Misspecification 1: probit/probit",1000,60,0,0,0,34.364,3.89341272698678,57.2733333333333,25.636,3.89341272698678,42.7266666666667
"RWR","A","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,0.063,0.251185377946436,0.105,32.749,3.94100628400039,54.5816666666667,27.188,3.94413643427965,45.3133333333333
"RWR","B","Base case: logit/logit",1000,60,0,0,0,11.989,3.10653014302606,19.9816666666667,48.011,3.10653014302606,80.0183333333333
"RWR","B","Misspecification 1: probit/probit",1000,60,0,0,0,4.966,2.13105264725801,8.27666666666667,55.034,2.13105264725801,91.7233333333333
"RWR","B","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,0,0,0,11.989,3.10653014302606,19.9816666666667,48.011,3.10653014302606,80.0183333333333
"RWR","C","Base case: logit/logit",1000,60,0,0,0,0.433,0.658744977168665,0.721666666666667,59.567,0.658744977168665,99.2783333333333
"RWR","C","Misspecification 1: probit/probit",1000,60,0,0,0,0.001,0.0316227766016838,0.00166666666666667,59.999,0.0316227766016838,99.9983333333333
"RWR","C","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,0,0,0,0.433,0.658744977168665,0.721666666666667,59.567,0.658744977168665,99.2783333333333
"RWR","D","Base case: logit/logit",1000,60,2.797,1.66269526839874,4.66166666666667,44.818,3.37405694383783,74.6966666666667,12.385,3.20297268705714,20.6416666666667
"RWR","D","Misspecification 1: probit/probit",1000,60,0.09,0.299983316186067,0.15,54.08,2.24647427019466,90.1333333333333,5.83,2.23922176528233,9.71666666666667
"RWR","D","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,2.797,1.66269526839874,4.66166666666667,44.818,3.37405694383783,74.6966666666667,12.385,3.20297268705714,20.6416666666667
"STEIN","A","Base case: logit/logit",1000,60,0.16,0.422585587282125,0.266666666666667,37.094,5.08123833164545,61.8233333333333,22.746,5.18404845254733,37.91
"STEIN","A","Misspecification 1: probit/probit",1000,60,0,0,0,39.894,6.40201138313185,66.49,20.106,6.40201138313185,33.51
"STEIN","A","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,0.16,0.422585587282125,0.266666666666667,37.094,5.08123833164545,61.8233333333333,22.746,5.18404845254733,37.91
"STEIN","B","Base case: logit/logit",1000,60,0.001,0.0316227766016838,0.00166666666666667,46.76,4.07099164491564,77.9333333333333,13.239,4.07018985373477,22.065
"STEIN","B","Misspecification 1: probit/probit",1000,60,0,0,0,52.467,2.12683672021019,87.445,7.533,2.12683672021019,12.555
"STEIN","B","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,0.001,0.0316227766016838,0.00166666666666667,46.522,3.68552562046435,77.5366666666667,13.477,3.68470460797715,22.4616666666667
"STEIN","C","Base case: logit/logit",1000,60,0,0,0,29.618,4.87604879506469,49.3633333333333,30.382,4.87604879506469,50.6366666666667
"STEIN","C","Misspecification 1: probit/probit",1000,60,0,0,0,31.848,5.9560364648288,53.08,28.152,5.9560364648288,46.92
"STEIN","C","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,0,0,0,29.611,4.87046203151204,49.3516666666667,30.389,4.87046203151204,50.6483333333333
"STEIN","D","Base case: logit/logit",1000,60,3.237,2.15487226407378,5.395,44.549,3.61478431800096,74.2483333333333,12.214,3.11285944011192,20.3566666666667
"STEIN","D","Misspecification 1: probit/probit",1000,60,0.141,0.459706787344205,0.235,54.051,2.27014372949216,90.085,5.808,2.21766860780732,9.68
"STEIN","D","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,3.237,2.15487226407378,5.395,44.549,3.61478431800096,74.2483333333333,12.214,3.11285944011192,20.3566666666667
"TEPI","A","Base case: logit/logit",1000,60,11.342,2.84096939566534,18.9033333333333,43.917,3.25833204688039,73.195,4.741,1.95082667726396,7.90166666666667
"TEPI","A","Misspecification 1: probit/probit",1000,60,11.301,2.82282967381445,18.835,46.406,3.12360703689195,77.3433333333333,2.293,1.31029304656167,3.82166666666667
"TEPI","A","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,11.82,2.98001350340573,19.7,41.578,4.20399685889388,69.2966666666667,6.602,2.4628564029723,11.0033333333333
