"Design","Scenario","Setting","Expected toxicities","Toxicity rate (%)","Expected efficacies","Efficacy rate (%)"
"BOIN12","A: Narrow therapeutic window","Base case",7.39,12.3,46.93,78.2
"STEIN","A: Narrow therapeutic window","Base case",2.9,4.8,40.42,67.4
"TEPI","A: Narrow therapeutic window","Base case",4.99,8.3,47.43,79
"BOIN12","A: Narrow therapeutic window","Misspecification",7.63,12.7,49.95,83.2
"STEIN","A: Narrow therapeutic window","Misspecification",4.03,6.7,44.68,74.5
"TEPI","A: Narrow therapeutic window","Misspecification",4.12,6.9,51.85,86.4
"BOIN12","B: Wide therapeutic window","Base case",6.14,10.2,43.24,72.1
"STEIN","B: Wide therapeutic window","Base case",0.19,0.3,13.04,21.7
"TEPI","B: Wide therapeutic window","Base case",4.11,6.9,52.06,86.8
"BOIN12","B: Wide therapeutic window","Misspecification",3.82,6.4,23.37,39
"STEIN","B: Wide therapeutic window","Misspecification",0,0,4.97,8.3
"TEPI","B: Wide therapeutic window","Misspecification",4.21,7,52.45,87.4
"BOIN12","C: Safe / low toxicity","Base case",0,0,0.53,0.9
"STEIN","C: Safe / low toxicity","Base case",0,0,0.43,0.7
"TEPI","C: Safe / low toxicity","Base case",0.13,0.2,41.37,68.9
"BOIN12","C: Safe / low toxicity","Misspecification",0,0,0,0
"STEIN","C: Safe / low toxicity","Misspecification",0,0,0,0
"TEPI","C: Safe / low toxicity","Misspecification",0,0,43.8,73
"BOIN12","D: Unsafe / high toxicity","Base case",12.12,20.2,38.35,63.9
"STEIN","D: Unsafe / high toxicity","Base case",10.7,17.8,39.48,65.8
"TEPI","D: Unsafe / high toxicity","Base case",13.93,23.2,37.15,61.9
"BOIN12","D: Unsafe / high toxicity","Misspecification",11.74,19.6,44.65,74.4
"STEIN","D: Unsafe / high toxicity","Misspecification",11.47,19.1,44.9,74.8
"TEPI","D: Unsafe / high toxicity","Misspecification",13.31,22.2,43.31,72.2
