"dose_log","pE_cond","pT","neutral","success","toxicity","scenario","dgp"
-1.2,0.543837156829713,0.000940648439632382,0.455733754303641,0.543325597256727,0.000940648439632382,"A","Base case: logit/logit"
-0.23,0.673667529565538,0.00247756108708268,0.325523961804262,0.671998477108655,0.00247756108708268,"A","Base case: logit/logit"
0.92,0.798302733784308,0.00778299973269081,0.200127456446651,0.792089543820658,0.00778299973269081,"A","Base case: logit/logit"
2.02,0.880620575880627,0.023022311592208,0.116631033819599,0.860346654588193,0.023022311592208,"A","Base case: logit/logit"
3,0.927774798964718,0.0590780912152456,0.0679582740204804,0.872963634764274,0.0590780912152456,"A","Base case: logit/logit"
3.69,0.949957281210985,0.111253565433167,0.0444752878997673,0.844271146667065,0.111253565433167,"A","Base case: logit/logit"
4.38,0.965579628883975,0.19972723741565,0.0275456854821996,0.77272707710215,0.19972723741565,"A","Base case: logit/logit"
5.08,0.976575738339489,0.334478130787941,0.0155893584052155,0.649932510806844,0.334478130787941,"A","Base case: logit/logit"
5.77,0.984028044592998,0.500499999833333,0.00797799172845928,0.491522008438207,0.500499999833333,"A","Base case: logit/logit"
-1.2,0.201748796087418,8.85599619149548e-07,0.798250496981619,0.201748617418762,8.85599619149548e-07,"B","Base case: logit/logit"
-0.23,0.796861034676683,6.16263468871313e-06,0.203137713452083,0.796856123913229,6.16263468871313e-06,"B","Base case: logit/logit"
0.92,0.99022244347977,6.14638435538151e-05,0.00977695555402597,0.99016158060242,6.14638435538151e-05,"B","Base case: logit/logit"
2.02,0.999559667497737,0.000554438542001714,0.000440088364952834,0.999005473093045,0.000554438542001714,"B","Base case: logit/logit"
3,0.999972409183916,0.00392287455445182,2.74825807734816e-05,0.996049642864775,0.00392287455445182,"B","Base case: logit/logit"
3.69,0.999996076921666,0.0154131662438918,3.86261127541796e-06,0.984582971144833,0.0154131662438918,"B","Base case: logit/logit"
4.38,0.99999944219732,0.0585797811879269,5.25126720579974e-07,0.941419693685353,0.0585797811879269,"B","Base case: logit/logit"
5.08,0.999999922899809,0.201491245095209,6.15651776144672e-08,0.798508693339614,0.201491245095209,"B","Base case: logit/logit"
5.77,0.99999998903755,0.5007499994375,5.47300336431931e-09,0.499249995089497,0.5007499994375,"B","Base case: logit/logit"
-1.2,0.00748159167273543,3.35144401399773e-14,0.992518408327231,0.00748159167273518,3.35144401399773e-14,"C","Base case: logit/logit"
-0.23,0.0219344120728478,1.18293793071988e-12,0.978065587925995,0.0219344120728218,1.18293793071988e-12,"C","Base case: logit/logit"
0.92,0.0755139886809762,8.08908824190847e-11,0.924486011244241,0.0755139886748678,8.08908824190847e-11,"C","Base case: logit/logit"
2.02,0.219510708946799,4.60317292648813e-09,0.780489287460474,0.219510707936353,4.60317292648813e-09,"C","Base case: logit/logit"
3,0.458346760632396,1.68555600455135e-07,0.541653148068917,0.458346683375482,1.68555600455135e-07,"C","Base case: logit/logit"
3.69,0.647612248676656,2.12669351085604e-06,0.3523870019026,0.647610871403889,2.12669351085604e-06,"C","Base case: logit/logit"
4.38,0.799651875273313,2.68322286175243e-05,0.200342748940001,0.799630418831381,2.68322286175243e-05,"C","Base case: logit/logit"
5.08,0.897607553066638,0.000351102917730751,0.10235649664649,0.897292400435779,0.000351102917730751,"C","Base case: logit/logit"
5.77,0.950096859494459,0.00441193593972671,0.0496829710464396,0.945905093013834,0.00441193593972671,"C","Base case: logit/logit"
-1.2,0.783638975211288,0.0475434708028913,0.206074470723786,0.746382058473323,0.0475434708028913,"D","Base case: logit/logit"
